date,item,category
2024-03-1,Item_0,Electronics
2024-03-2,Item_1,Books
2024-03-3,Item_2,Electronics
2024-03-4,Item_3,Books
2024-03-5,Item_4,Electronics
2024-03-6,Item_5,Books
2024-03-7,Item_6,Electronics
2024-03-8,Item_7,Books
2024-03-9,Item_8,Electronics
2024-03-10,Item_9,Books
2024-03-11,Item_10,Electronics
2024-03-12,Item_11,Books
2024-03-13,Item_12,Electronics
2024-03-14,Item_13,Books
2024-03-15,Item_14,Electronics
2024-03-16,Item_15,Books
2024-03-17,Item_16,Electronics
2024-03-18,Item_17,Books
2024-03-19,Item_18,Electronics
2024-03-20,Item_19,Books
2024-03-21,Item_20,Electronics
2024-03-22,Item_21,Books
2024-03-23,Item_22,Electronics
2024-03-24,Item_23,Books
2024-03-25,Item_24,Electronics
2024-03-26,Item_25,Books
2024-03-27,Item_26,Electronics
2024-03-28,Item_27,Books
2024-03-29,Item_28,Electronics
2024-03-30,Item_29,Books
2024-03-1,Item_30,Electronics
2024-03-2,Item_31,Books
2024-03-3,Item_32,Electronics
2024-03-4,Item_33,Books
2024-03-5,Item_34,Electronics
2024-03-6,Item_35,Books
2024-03-7,Item_36,Electronics
2024-03-8,Item_37,Books
2024-03-9,Item_38,Electronics
2024-03-10,Item_39,Books
2024-03-11,Item_40,Electronics
2024-03-12,Item_41,Books
2024-03-13,Item_42,Electronics
2024-03-14,Item_43,Books
2024-03-15,Item_44,Electronics
2024-03-16,Item_45,Books
2024-03-17,Item_46,Electronics
2024-03-18,Item_47,Books
2024-03-19,Item_48,Electronics
2024-03-20,Item_49,Books
2024-03-21,Item_50,Electronics
2024-03-22,Item_51,Books
2024-03-23,Item_52,Electronics
2024-03-24,Item_53,Books
2024-03-25,Item_54,Electronics
2024-03-26,Item_55,Books
2024-03-27,Item_56,Electronics
2024-03-28,Item_57,Books
2024-03-29,Item_58,Electronics
2024-03-30,Item_59,Books
2024-03-1,Item_60,Electronics
2024-03-2,Item_61,Books
2024-03-3,Item_62,Electronics
2024-03-4,Item_63,Books
2024-03-5,Item_64,Electronics
2024-03-6,Item_65,Books
2024-03-7,Item_66,Electronics
2024-03-8,Item_67,Books
2024-03-9,Item_68,Electronics
2024-03-10,Item_69,Books
2024-03-11,Item_70,Electronics
2024-03-12,Item_71,Books
2024-03-13,Item_72,Electronics
2024-03-14,Item_73,Books
2024-03-15,Item_74,Electronics
2024-03-16,Item_75,Books
2024-03-17,Item_76,Electronics
2024-03-18,Item_77,Books
2024-03-19,Item_78,Electronics
2024-03-20,Item_79,Books
2024-03-21,Item_80,Electronics
2024-03-22,Item_81,Books
2024-03-23,Item_82,Electronics
2024-03-24,Item_83,Books
2024-03-25,Item_84,Electronics
2024-03-26,Item_85,Books
2024-03-27,Item_86,Electronics
2024-03-28,Item_87,Books
2024-03-29,Item_88,Electronics
2024-03-30,Item_89,Books
2024-03-1,Item_90,Electronics
2024-03-2,Item_91,Books
2024-03-3,Item_92,Electronics
2024-03-4,Item_93,Books
2024-03-5,Item_94,Electronics
2024-03-6,Item_95,Books
2024-03-7,Item_96,Electronics
2024-03-8,Item_97,Books
2024-03-9,Item_98,Electronics
2024-03-10,Item_99,Books
2024-03-11,Item_100,Electronics
2024-03-12,Item_101,Books
2024-03-13,Item_102,Electronics
2024-03-14,Item_103,Books
2024-03-15,Item_104,Electronics
2024-03-16,Item_105,Books
2024-03-17,Item_106,Electronics
2024-03-18,Item_107,Books
2024-03-19,Item_108,Electronics
2024-03-20,Item_109,Books
2024-03-21,Item_110,Electronics
2024-03-22,Item_111,Books
2024-03-23,Item_112,Electronics
2024-03-24,Item_113,Books
2024-03-25,Item_114,Electronics
2024-03-26,Item_115,Books
2024-03-27,Item_116,Electronics
2024-03-28,Item_117,Books
2024-03-29,Item_118,Electronics
2024-03-30,Item_119,Books
2024-03-1,Item_120,Electronics
2024-03-2,Item_121,Books
2024-03-3,Item_122,Electronics
2024-03-4,Item_123,Books
2024-03-5,Item_124,Electronics
2024-03-6,Item_125,Books
2024-03-7,Item_126,Electronics
2024-03-8,Item_127,Books
2024-03-9,Item_128,Electronics
2024-03-10,Item_129,Books
2024-03-11,Item_130,Electronics
2024-03-12,Item_131,Books
2024-03-13,Item_132,Electronics
2024-03-14,Item_133,Books
2024-03-15,Item_134,Electronics
2024-03-16,Item_135,Books
2024-03-17,Item_136,Electronics
2024-03-18,Item_137,Books
2024-03-19,Item_138,Electronics
2024-03-20,Item_139,Books
2024-03-21,Item_140,Electronics
2024-03-22,Item_141,Books
2024-03-23,Item_142,Electronics
2024-03-24,Item_143,Books
2024-03-25,Item_144,Electronics
2024-03-26,Item_145,Books
2024-03-27,Item_146,Electronics
2024-03-28,Item_147,Books
2024-03-29,Item_148,Electronics
2024-03-30,Item_149,Books
2024-03-1,Item_150,Electronics
2024-03-2,Item_151,Books
2024-03-3,Item_152,Electronics
2024-03-4,Item_153,Books
2024-03-5,Item_154,Electronics
2024-03-6,Item_155,Books
2024-03-7,Item_156,Electronics
2024-03-8,Item_157,Books
2024-03-9,Item_158,Electronics
2024-03-10,Item_159,Books
2024-03-11,Item_160,Electronics
2024-03-12,Item_161,Books
2024-03-13,Item_162,Electronics
2024-03-14,Item_163,Books
2024-03-15,Item_164,Electronics
2024-03-16,Item_165,Books
2024-03-17,Item_166,Electronics
2024-03-18,Item_167,Books
2024-03-19,Item_168,Electronics
2024-03-20,Item_169,Books
2024-03-21,Item_170,Electronics
2024-03-22,Item_171,Books
2024-03-23,Item_172,Electronics
2024-03-24,Item_173,Books
2024-03-25,Item_174,Electronics
2024-03-26,Item_175,Books
2024-03-27,Item_176,Electronics
2024-03-28,Item_177,Books
2024-03-29,Item_178,Electronics
2024-03-30,Item_179,Books
2024-03-1,Item_180,Electronics
2024-03-2,Item_181,Books
2024-03-3,Item_182,Electronics
2024-03-4,Item_183,Books
